task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
16	1a/a7034a	2192418	output_documentation	CACHED	0	2022-05-09 19:43:21.998	3.7s	405ms	86.2%	18.7 MB	25.6 MB	3.9 MB	799.3 KB
15	8c/d221a5	2252083	mirtrace ([Lung_M1_*.fastq, Lung_F1_*.fastq, Lung_F2_*.fastq, Lung_M2_*.fastq, Lung_F3_*.fastq, Lung_M3_*.fastq])	CACHED	0	2022-05-09 19:47:33.153	5m 24s	5m 22s	380.6%	2.9 GB	47.9 GB	15.2 GB	650.6 MB
6	08/083da8	2186255	fastqc (Lung_M2_*.fastq)	CACHED	0	2022-05-09 19:43:16.342	1m 33s	1m 29s	98.3%	455.3 MB	3.5 GB	3.2 GB	2.7 MB
3	06/0a37da	2186265	fastqc (Lung_M1_*.fastq)	CACHED	0	2022-05-09 19:43:16.362	1m 13s	1m 9s	106.3%	431.6 MB	3.5 GB	2.8 GB	2.7 MB
2	07/40212a	2186260	make_bowtie_index	CACHED	0	2022-05-09 19:43:16.355	5.6s	2.1s	112.2%	99.4 MB	897.3 MB	14.1 MB	18.7 MB
5	3c/6a197a	2186249	fastqc (Lung_F2_*.fastq)	CACHED	0	2022-05-09 19:43:16.322	48.9s	45.4s	111.8%	406.8 MB	3.5 GB	1.7 GB	2.5 MB
4	20/9813aa	2198270	fastqc (Lung_F1_*.fastq)	CACHED	0	2022-05-09 19:43:27.265	59.3s	56.5s	109.2%	405.1 MB	3.5 GB	1.9 GB	2.5 MB
7	0a/228fb7	2192393	fastqc (Lung_F3_*.fastq)	CACHED	0	2022-05-09 19:43:21.967	47.6s	44.5s	111.1%	411.5 MB	3.7 GB	2 GB	2.8 MB
8	79/b5bea5	2186246	fastqc (Lung_M3_*.fastq)	CACHED	0	2022-05-09 19:43:16.307	1m 33s	1m 29s	106.4%	417.9 MB	3.5 GB	3.7 GB	2.7 MB
1	99/407dd4	2468197	get_software_versions	COMPLETED	0	2022-05-10 06:45:07.459	6s	2s	435.4%	24.1 MB	30.7 MB	27.2 MB	13.4 KB
11	c4/fd6846	2468172	trim_galore (Lung_F2_*.fastq)	COMPLETED	0	2022-05-10 06:45:07.384	3m 42s	3m 38s	137.7%	269.6 MB	3.4 GB	5.1 GB	3.4 GB
13	18/4559d2	2468189	trim_galore (Lung_F3_*.fastq)	COMPLETED	0	2022-05-10 06:45:07.439	4m 6s	4m 2s	130.8%	254.7 MB	3.3 GB	6 GB	4.1 GB
10	a7/defb27	2468150	trim_galore (Lung_F1_*.fastq)	COMPLETED	0	2022-05-10 06:45:07.311	4m 18s	4m 15s	139.7%	303 MB	3.3 GB	6 GB	4 GB
17	2f/c74f15	2524747	insertsize (Lung_F2_*_trimmed.fq.gz)	COMPLETED	0	2022-05-10 06:49:13.488	34.5s	32s	101.7%	9.2 MB	24.4 MB	1.8 GB	1.6 GB
26	1b/5a1e37	2528434	insertsize (Lung_F3_*_trimmed.fq.gz)	COMPLETED	0	2022-05-10 06:49:25.500	39.2s	36.7s	101.3%	9 MB	24.4 MB	2.1 GB	1.9 GB
29	e1/542f06	2533088	insertsize (Lung_F1_*_trimmed.fq.gz)	COMPLETED	0	2022-05-10 06:49:47.993	39.3s	36.7s	101.4%	9.2 MB	24.4 MB	2.2 GB	1.9 GB
9	34/3a12be	2468165	trim_galore (Lung_M1_*.fastq)	COMPLETED	0	2022-05-10 06:45:07.355	5m 33s	5m 30s	133.7%	244.5 MB	3.3 GB	8.7 GB	5.9 GB
12	b5/95c045	2468182	trim_galore (Lung_M2_*.fastq)	COMPLETED	0	2022-05-10 06:45:07.398	6m 10s	6m 6s	134.9%	242.1 MB	3.3 GB	9.8 GB	6.6 GB
33	0b/106253	2545311	insertsize (Lung_M1_*_trimmed.fq.gz)	COMPLETED	0	2022-05-10 06:51:16.928	51.1s	48.5s	100.6%	9.2 MB	24.4 MB	3.1 GB	2.8 GB
