miRNA	Lung_M3_.	Lung_F2_.	Lung_F3_.	Lung_F1_.	Lung_M1_.	Lung_M2_.
mmu-miR-6989-5p	1	0	0	0	2	2
mmu-miR-6989-3p	26	0	4	5	21	8
mmu-miR-297c-5p	0	0	0	1	2	0
mmu-miR-297c-3p	9	3	1	6	6	3
mmu-miR-297a-5p	6	1	1	2	5	0
mmu-miR-297b-5p	2	1	0	3	5	7
mmu-miR-190a-3p	4	19	3	10	7	12
mmu-miR-190a-5p	98	189	96	159	65	80
mmu-let-7k	67	15	14	17	40	65
mmu-miR-1198-5p	399	223	107	254	275	400
mmu-miR-1198-3p	10	5	1	4	10	3
mmu-miR-7031-5p	0	0	0	0	4	2
mmu-miR-7031-3p	2	0	0	1	0	4
mmu-miR-669c-5p	58	24	13	21	36	51
mmu-miR-669c-3p	1	1	0	2	0	2
mmu-miR-1199-5p	48	10	18	8	23	45
mmu-miR-1199-3p	10	5	2	5	5	7
mmu-miR-709	32	9	2	5	11	28
mmu-miR-3076-5p	1	1	1	0	0	1
mmu-miR-3076-3p	10	2	2	6	13	7
mmu-miR-3057-5p	122	42	45	66	131	138
mmu-miR-3057-3p	3	0	0	2	0	5
mmu-miR-381-3p	186	222	82	62	115	108
mmu-miR-466d-5p	4	2	0	3	4	8
mmu-miR-466d-3p	13	7	0	8	9	13
mmu-miR-378d	9	7	7	15	1	4
mmu-miR-298-5p	74	18	10	16	50	51
mmu-miR-298-3p	0	0	0	1	0	0
mmu-miR-466i-5p	84	24	7	20	29	77
mmu-miR-466i-3p	4	2	0	2	0	5
mmu-miR-500-5p	9	3	2	3	3	10
mmu-miR-500-3p	96	130	65	123	63	91
mmu-miR-7046-3p	9	6	0	7	2	9
mmu-miR-7046-5p	0	0	0	0	0	1
mmu-miR-409-5p	12	8	0	3	6	7
mmu-miR-409-3p	46	63	20	48	25	26
mmu-miR-5107-5p	35	0	0	5	24	24
mmu-miR-5107-3p	27	7	2	9	15	13
mmu-miR-380-3p	5	6	0	2	0	4
mmu-miR-7016-3p	3	0	0	1	1	0
mmu-miR-18b-5p	6	3	2	6	5	4
mmu-miR-18b-3p	22	2	0	3	23	5
mmu-miR-410-3p	109	147	60	56	72	80
mmu-miR-669d-5p	7	2	4	11	3	8
mmu-miR-3060-3p	57	35	14	31	62	62
mmu-miR-505-5p	23	4	4	4	18	19
mmu-miR-505-3p	16	10	4	17	9	10
mmu-miR-1955-5p	58	11	9	12	37	56
mmu-miR-1955-3p	8	6	4	10	7	9
mmu-miR-6926-3p	3	0	0	0	1	1
mmu-miR-6418-3p	34	6	0	5	48	25
mmu-miR-466g	24	6	3	8	7	15
mmu-miR-6963-5p	0	0	0	0	1	0
mmu-miR-6963-3p	7	2	0	1	5	5
mmu-miR-7074-3p	1	0	0	0	0	0
mmu-miR-147-5p	29	27	3	64	24	30
mmu-miR-147-3p	20	11	7	36	9	4
mmu-miR-488-3p	5	3	3	3	3	4
mmu-miR-7226-3p	60	39	23	19	57	39
mmu-miR-3064-5p	3	1	0	4	2	3
mmu-miR-3064-3p	6	3	2	5	2	2
mmu-miR-6935-3p	1	0	0	0	1	1
mmu-miR-6935-5p	1	0	0	0	1	0
mmu-miR-433-3p	22	10	3	3	10	9
mmu-miR-7688-5p	14	9	3	7	13	15
mmu-miR-6952-3p	32	7	5	2	29	21
mmu-miR-6952-5p	3	1	0	3	2	3
mmu-miR-677-5p	33	81	36	42	20	51
mmu-miR-677-3p	3	2	2	0	4	0
mmu-miR-7028-5p	0	0	0	0	1	0
mmu-miR-7028-3p	1	0	0	0	0	0
mmu-miR-467d-5p	17	5	3	8	19	21
mmu-miR-467d-3p	27	8	8	20	7	17
mmu-miR-8097	3	1	0	2	1	3
mmu-miR-499-5p	15	3	2	2	6	5
mmu-miR-6992-5p	1	1	0	1	0	0
mmu-miR-7243-5p	3	0	0	0	0	2
mmu-miR-3074-5p	16	1	2	3	7	25
mmu-miR-3074-1-3p	31	16	1	11	17	15
mmu-miR-5128	11	2	1	3	5	1
mmu-miR-6240	21	148	168	307	11	41
mmu-miR-467a-5p	0	0	4	3	1	8
mmu-miR-6921-3p	7	2	0	1	4	1
mmu-miR-3095-5p	1	0	0	0	0	0
mmu-miR-3095-3p	2	0	1	3	2	2
mmu-miR-1668	87	31	29	25	58	62
mmu-miR-5129-5p	0	3	2	1	1	5
mmu-miR-5129-3p	15	13	2	20	11	14
mmu-miR-672-5p	145	67	55	95	111	126
mmu-miR-672-3p	5	1	3	5	4	3
mmu-miR-1983	7	5	1	7	1	10
mmu-miR-690	72	20	15	56	43	26
mmu-miR-135b-5p	8	4	3	6	2	5
mmu-miR-135b-3p	0	0	0	1	0	0
mmu-miR-9-5p	4	14	5	22	5	5
mmu-miR-9-3p	1	4	0	2	0	0
mmu-miR-5101	15	4	5	4	8	4
mmu-miR-369-5p	1	2	2	1	3	0
mmu-miR-369-3p	21	15	12	18	9	6
mmu-miR-5121	3	1	4	5	4	4
mmu-miR-1947-5p	88	27	21	45	88	87
mmu-miR-1947-3p	2	0	0	0	0	0
mmu-miR-467e-5p	40	22	9	20	31	36
mmu-miR-450a-1-3p	8	11	6	7	4	10
mmu-miR-592-5p	12	2	1	3	6	5
mmu-miR-615-3p	4	5	2	2	4	2
mmu-miR-7224-3p	48	29	17	61	28	40
mmu-miR-6540-5p	15	6	4	10	13	22
mmu-miR-6540-3p	1	1	0	0	0	0
mmu-miR-466c-5p	12	5	0	1	4	1
mmu-miR-466c-3p	16	9	3	12	16	30
mmu-miR-540-3p	11	10	2	1	12	8
mmu-miR-540-5p	22	15	2	2	10	15
mmu-miR-6899-5p	0	1	1	0	0	1
mmu-miR-6899-3p	45	26	13	36	39	43
mmu-miR-1191a	24	15	5	15	6	13
mmu-miR-6971-3p	35	11	13	20	37	29
mmu-miR-3061-5p	15	6	4	7	14	13
mmu-miR-3061-3p	33	12	11	30	30	32
mmu-miR-1195	63	28	8	39	29	42
mmu-miR-190b-5p	48	36	19	31	23	24
mmu-miR-190b-3p	8	2	0	1	8	5
mmu-miR-6991-3p	2	3	0	0	1	0
mmu-miR-6958-3p	1	2	0	3	0	1
mmu-miR-7019-3p	15	4	1	2	9	17
mmu-miR-5619-3p	4	0	0	0	1	2
mmu-miR-3473h-5p	3	3	1	0	0	0
mmu-miR-3109-5p	5	3	1	1	1	2
mmu-miR-3109-3p	28	4	3	4	21	23
mmu-miR-3074-2-3p	0	0	0	0	1	0
mmu-miR-6997-3p	0	0	0	1	0	1
mmu-miR-6997-5p	2	0	0	0	0	1
mmu-miR-138-5p	28	12	3	14	6	6
mmu-miR-138-1-3p	2	1	0	0	7	1
mmu-miR-188-3p	32	15	2	12	22	33
mmu-miR-188-5p	16	31	11	25	18	13
mmu-miR-7646-5p	7	3	1	2	1	0
mmu-miR-344d-3p	12	4	0	0	0	2
mmu-miR-1945	1	1	0	0	1	3
mmu-miR-3473e	5	0	0	0	1	0
mmu-miR-3473b	6	0	2	1	1	4
mmu-miR-7667-5p	4	0	0	0	3	2
mmu-miR-7667-3p	2	0	0	0	2	1
mmu-miR-7061-5p	3	0	0	0	0	0
mmu-miR-7061-3p	2	1	0	0	0	1
mmu-miR-483-3p	1	1	3	3	1	1
mmu-miR-483-5p	3	1	0	0	0	0
mmu-miR-7060-5p	0	0	0	6	0	1
mmu-miR-7060-3p	2	0	0	0	1	1
mmu-miR-3069-5p	1	3	0	5	1	0
mmu-miR-3069-3p	4	7	1	3	2	5
mmu-miR-467b-3p	1	0	0	0	0	0
mmu-miR-467b-5p	4	1	0	2	1	1
mmu-miR-547-3p	9	5	1	7	5	4
mmu-miR-337-5p	34	20	8	12	18	25
mmu-miR-337-3p	24	18	7	12	9	13
mmu-miR-12195-5p	0	0	0	0	0	1
mmu-miR-12195-3p	11	4	2	7	3	8
mmu-miR-12199-3p	10	8	4	10	11	20
mmu-miR-6901-5p	9	4	3	11	8	13
mmu-miR-6901-3p	1	2	2	0	0	3
mmu-miR-6993-3p	1	1	0	1	0	0
mmu-miR-341-3p	20	30	6	6	5	4
mmu-miR-378b	2	5	1	2	2	2
mmu-miR-653-5p	57	114	75	115	53	98
mmu-miR-653-3p	0	1	0	0	0	0
mmu-miR-7015-3p	25	7	6	12	25	20
mmu-miR-7015-5p	0	1	0	0	0	0
mmu-miR-6957-5p	1	0	0	0	1	2
mmu-miR-6957-3p	1	2	0	0	0	1
mmu-miR-145b	2	4	0	3	6	3
mmu-miR-598-3p	52	40	26	98	29	51
mmu-miR-669f-5p	4	0	1	1	5	6
mmu-miR-669f-3p	6	3	1	1	7	11
mmu-miR-704	5	0	1	0	4	2
mmu-miR-1231-5p	0	2	0	0	2	0
mmu-miR-1231-3p	3	0	1	2	3	4
mmu-miR-12194-3p	4	1	0	2	5	3
mmu-miR-1933-5p	0	0	0	0	1	0
mmu-miR-1933-3p	7	2	1	4	6	5
mmu-miR-1291	1	1	0	3	2	4
mmu-miR-7116-5p	1	0	0	0	0	0
mmu-miR-7116-3p	20	10	3	6	8	15
mmu-miR-376c-3p	10	12	6	14	9	16
mmu-miR-1954	5	4	1	2	6	6
mmu-miR-1982-5p	0	0	1	0	0	1
mmu-miR-1982-3p	24	11	4	13	19	17
mmu-miR-3572-3p	9	8	3	13	8	16
mmu-miR-3572-5p	1	0	0	0	0	0
mmu-miR-3472	3	9	0	5	0	2
mmu-miR-5126	9	0	2	0	6	8
mmu-miR-12202-5p	3	0	0	0	1	0
mmu-miR-12202-3p	3	0	0	3	2	0
mmu-miR-12206-5p	3	0	0	3	0	0
mmu-miR-7091-5p	5	1	3	0	2	1
mmu-miR-7091-3p	1	2	0	0	1	3
mmu-miR-6353	1	0	1	0	0	1
mmu-miR-452-5p	20	21	8	19	18	16
mmu-miR-452-3p	0	1	0	0	0	1
mmu-miR-3088-3p	10	4	0	3	4	1
mmu-miR-666-5p	23	5	2	7	10	7
mmu-miR-666-3p	1	1	0	0	0	0
mmu-miR-667-3p	8	9	3	6	6	6
mmu-miR-20b-5p	25	21	0	22	24	15
mmu-miR-20b-3p	1	1	0	0	1	0
mmu-miR-6903-3p	2	0	0	0	0	0
mmu-miR-3547-3p	2	1	0	3	2	6
mmu-miR-466f-5p	0	0	0	1	0	3
mmu-miR-466f-3p	15	1	2	6	14	8
mmu-miR-6539	3	1	3	4	4	3
mmu-miR-3970	0	1	0	0	1	1
mmu-miR-383-5p	11	5	6	3	7	5
mmu-miR-466n-3p	2	2	0	0	1	1
mmu-miR-7b-5p	49	25	27	28	26	18
mmu-miR-7b-3p	0	1	0	0	0	0
mmu-miR-3473c	6	0	0	2	4	3
mmu-miR-329-5p	21	35	7	8	8	12
mmu-miR-329-3p	7	12	4	10	4	2
mmu-miR-1187	8	2	2	1	2	3
mmu-miR-376a-3p	7	3	0	2	8	3
mmu-miR-376a-5p	2	2	0	0	1	1
mmu-miR-6970-5p	4	1	2	0	0	0
mmu-miR-6970-3p	0	0	0	1	0	0
mmu-miR-6914-3p	5	0	0	0	14	15
mmu-miR-1895	26	10	9	8	10	31
mmu-miR-7675-3p	7	1	1	1	1	0
mmu-miR-1949	1	0	0	1	2	1
mmu-miR-669a-3-3p	0	7	0	1	0	2
mmu-miR-466b-5p	1	0	0	0	0	0
mmu-miR-466b-3p	0	0	0	0	1	0
mmu-miR-466a-5p	3	0	0	1	4	0
mmu-miR-466p-5p	1	1	0	0	0	0
mmu-miR-466e-5p	3	0	0	0	2	1
mmu-miR-5114	45	24	6	21	40	43
mmu-miR-12191-3p	4	0	0	6	15	8
mmu-miR-760-5p	0	0	1	0	1	0
mmu-miR-760-3p	14	2	6	2	3	11
mmu-miR-7213-5p	13	1	0	4	8	16
mmu-miR-7213-3p	0	0	0	3	2	0
mmu-miR-106a-5p	10	7	3	11	10	16
mmu-miR-3070-5p	4	0	0	0	0	1
mmu-miR-7010-5p	4	2	3	3	4	6
mmu-miR-7010-3p	0	0	0	0	0	1
mmu-miR-3473a	17	6	0	5	6	14
mmu-miR-5123	3	2	0	1	3	6
mmu-miR-3113-3p	1	0	0	1	0	0
mmu-miR-344-3p	19	15	7	14	18	23
mmu-miR-3098-5p	5	0	0	0	3	0
mmu-miR-3098-3p	5	0	1	2	2	9
mmu-miR-7054-5p	0	1	1	0	0	1
mmu-miR-7054-3p	1	1	0	0	0	0
mmu-miR-6925-5p	5	1	0	0	2	6
mmu-miR-6925-3p	2	0	1	0	0	0
mmu-miR-30f	11	9	4	6	14	9
mmu-miR-195b	2	2	2	2	2	1
mmu-miR-701-5p	1	1	0	1	1	2
mmu-miR-701-3p	1	1	1	1	3	2
mmu-miR-7236-3p	11	9	1	2	8	11
mmu-miR-3066-5p	9	10	6	15	8	9
mmu-miR-3066-3p	0	1	1	1	0	0
mmu-miR-6968-5p	0	0	0	0	0	1
mmu-miR-6968-3p	9	2	1	3	6	7
mmu-miR-299a-3p	13	20	7	6	6	5
mmu-miR-299a-5p	6	19	6	8	2	3
mmu-miR-6996-5p	16	4	1	1	19	10
mmu-miR-6996-3p	0	0	1	2	0	1
mmu-miR-6975-3p	10	1	1	3	7	5
mmu-miR-7689-3p	2	0	0	0	0	3
mmu-miR-7687-5p	2	0	0	0	4	2
mmu-miR-129-5p	2	2	1	2	0	4
mmu-miR-129-2-3p	5	6	3	4	1	6
mmu-miR-1934-5p	7	3	0	4	6	5
mmu-miR-1934-3p	1	0	0	1	0	1
mmu-miR-6906-5p	0	0	0	1	0	0
mmu-miR-6906-3p	6	0	0	1	3	2
mmu-miR-7655-5p	6	6	6	5	7	7
mmu-miR-6994-5p	0	0	0	0	0	1
mmu-miR-6994-3p	3	0	0	4	2	1
mmu-miR-6960-5p	9	4	2	1	8	5
mmu-miR-6415	1	0	0	0	0	0
mmu-miR-6933-3p	1	1	0	1	0	0
mmu-miR-6933-5p	3	2	1	0	1	4
mmu-miR-344d-3-5p	0	0	0	0	2	0
mmu-miR-6940-3p	4	2	3	2	1	0
mmu-miR-489-5p	0	1	0	0	0	0
mmu-miR-489-3p	25	17	9	35	14	31
mmu-miR-196b-5p	20	2	1	3	24	29
mmu-miR-196b-3p	1	0	0	0	0	0
mmu-miR-7219-3p	9	3	2	4	3	4
mmu-miR-1948-5p	4	2	2	4	0	6
mmu-miR-1948-3p	10	2	0	3	10	7
mmu-miR-377-3p	5	9	1	7	13	10
mmu-miR-377-5p	4	1	0	1	0	0
mmu-miR-3058-5p	5	0	1	1	2	3
mmu-miR-3058-3p	6	1	1	3	5	4
mmu-miR-1966-5p	1	0	0	0	1	1
mmu-miR-1966-3p	9	4	3	10	25	26
mmu-miR-7075-5p	0	1	0	0	0	0
mmu-miR-7075-3p	15	6	2	8	18	18
mmu-miR-138-2-3p	1	1	0	0	2	0
mmu-miR-293-5p	2	1	1	1	1	1
mmu-miR-293-3p	3	1	1	0	1	0
mmu-miR-7063-5p	8	1	0	0	1	11
mmu-miR-7063-3p	9	2	1	1	11	4
mmu-miR-6985-3p	19	13	1	9	19	26
mmu-miR-6985-5p	1	0	0	0	0	1
mmu-miR-3094-3p	2	0	0	0	0	0
mmu-miR-1188-5p	2	0	1	0	0	1
mmu-miR-7064-5p	1	0	0	0	0	0
mmu-miR-3083b-5p	0	1	0	0	0	0
mmu-miR-3083b-3p	1	0	0	0	0	0
mmu-miR-346-5p	4	1	1	12	1	2
mmu-miR-7058-3p	8	4	0	2	9	1
mmu-miR-3103-5p	7	1	0	0	3	5
mmu-miR-3103-3p	18	3	4	12	12	8
mmu-miR-3097-5p	2	1	0	4	4	5
mmu-miR-3097-3p	5	3	1	5	2	7
mmu-miR-1903	7	2	1	1	2	1
mmu-miR-7021-5p	0	3	0	1	3	2
mmu-miR-7021-3p	3	0	0	0	3	2
mmu-miR-7215-5p	1	0	0	0	0	0
mmu-miR-7215-3p	1	0	0	0	0	0
mmu-miR-5122	2	0	1	2	14	7
mmu-miR-7079-3p	4	2	0	1	3	6
mmu-miR-3063-3p	1	1	0	0	0	0
mmu-miR-7671-5p	1	0	1	0	3	0
mmu-miR-7671-3p	0	0	1	0	1	0
mmu-miR-1193-5p	1	0	1	0	0	0
mmu-miR-1193-3p	3	2	0	0	0	1
mmu-miR-7662-5p	0	0	0	2	0	0
mmu-miR-7662-3p	4	2	0	1	3	1
mmu-miR-8116	3	0	0	1	9	14
mmu-miR-12193-5p	1	0	0	0	0	0
mmu-miR-12193-3p	2	0	1	0	3	0
mmu-miR-7059-5p	10	1	0	2	5	11
mmu-miR-6948-3p	12	1	2	5	5	6
mmu-miR-6948-5p	0	0	0	1	1	1
mmu-miR-6945-3p	6	3	0	3	3	3
mmu-miR-7004-5p	1	2	0	1	0	0
mmu-miR-7004-3p	0	0	0	0	4	2
mmu-miR-6980-3p	5	3	0	1	4	9
mmu-miR-6980-5p	0	2	0	0	3	0
mmu-miR-487b-5p	0	1	0	0	0	1
mmu-miR-487b-3p	10	4	3	1	9	2
mmu-miR-7094-3p	4	0	0	0	1	1
mmu-miR-294-5p	1	0	0	0	0	0
mmu-miR-5119	2	0	0	0	1	0
mmu-miR-7033-5p	2	2	0	0	0	0
mmu-miR-7025-3p	5	8	3	4	5	9
mmu-miR-7084-5p	2	0	0	2	1	2
mmu-miR-7084-3p	1	0	2	1	1	2
mmu-miR-6395	3	0	2	0	0	0
mmu-miR-7237-3p	3	6	6	2	2	1
mmu-miR-3475-3p	2	1	0	1	0	3
mmu-miR-3089-5p	1	1	1	0	0	0
mmu-miR-3089-3p	5	6	0	2	3	3
mmu-miR-6964-3p	6	0	2	1	2	5
mmu-miR-6955-5p	3	2	0	4	2	0
mmu-miR-6955-3p	2	0	1	2	1	1
mmu-miR-7065-5p	1	1	0	1	0	0
mmu-miR-7065-3p	0	0	0	1	1	1
mmu-miR-5103	2	1	0	3	3	3
mmu-miR-129-1-3p	1	3	0	0	0	0
mmu-miR-7082-5p	0	0	0	0	1	0
mmu-miR-7082-3p	1	0	0	1	0	1
mmu-miR-6360	1	0	0	0	0	0
mmu-miR-201-5p	8	7	1	10	3	5
mmu-miR-5113	5	1	4	4	5	4
mmu-miR-485-3p	5	1	2	7	3	5
mmu-miR-485-5p	6	1	2	7	7	7
mmu-miR-8096	1	1	0	0	1	0
mmu-miR-5627-5p	1	0	0	0	0	0
mmu-miR-5627-3p	2	5	0	5	1	3
mmu-miR-8118	3	0	2	5	1	4
mmu-miR-466q	0	2	0	1	1	2
mmu-miR-7070-3p	6	0	0	1	1	1
mmu-miR-3073b-3p	1	2	0	0	1	0
mmu-miR-7035-5p	0	0	0	0	1	0
mmu-miR-7035-3p	4	1	0	0	3	1
mmu-miR-6986-5p	3	2	1	0	6	5
mmu-miR-7653-5p	0	0	1	0	0	1
mmu-miR-7653-3p	5	0	1	0	0	4
mmu-miR-7042-5p	1	0	1	0	1	3
mmu-miR-7042-3p	7	2	0	2	9	2
mmu-miR-216a-3p	0	0	0	0	1	1
mmu-miR-216a-5p	1	0	0	0	0	0
mmu-miR-6953-3p	3	0	1	3	4	3
mmu-miR-12189-3p	1	0	0	0	0	0
mmu-miR-6896-5p	3	1	1	0	1	0
mmu-miR-344b-3p	0	0	0	1	0	0
mmu-miR-344b-5p	1	0	0	0	0	0
mmu-miR-669e-5p	1	1	0	0	0	0
mmu-miR-669e-3p	1	0	0	0	0	0
mmu-miR-5134-3p	1	0	0	0	0	2
mmu-miR-706	3	2	0	0	0	1
mmu-miR-3065-5p	4	2	0	1	1	2
mmu-miR-3065-3p	0	0	0	1	1	0
mmu-miR-761	1	0	0	0	0	0
mmu-miR-6934-3p	1	1	1	0	1	0
mmu-miR-6934-5p	1	0	0	0	0	2
mmu-miR-3087-5p	0	0	0	0	1	2
mmu-miR-3087-3p	5	2	4	4	1	2
mmu-miR-6981-5p	1	0	1	0	1	0
mmu-miR-6981-3p	11	2	2	2	6	10
mmu-miR-6979-3p	6	1	1	2	1	0
mmu-miR-8094	12	1	2	17	14	11
mmu-miR-3969	1	0	0	0	0	0
mmu-miR-551b-5p	0	0	0	0	1	0
mmu-miR-551b-3p	2	4	1	1	4	3
mmu-miR-668-3p	11	6	3	5	9	18
mmu-miR-1950	1	1	0	1	0	0
mmu-miR-7023-3p	3	1	0	2	1	1
mmu-miR-6962-3p	0	0	0	0	1	0
mmu-miR-6962-5p	1	0	0	0	0	0
mmu-miR-6367	1	0	0	0	0	0
mmu-miR-669m-5p	1	0	0	0	0	0
mmu-miR-669m-3p	1	1	1	0	0	0
mmu-miR-3473f	5	2	2	2	0	2
mmu-miR-3108-5p	3	0	0	0	2	0
mmu-miR-3108-3p	1	0	0	0	0	0
mmu-miR-7649-3p	5	4	0	0	1	1
mmu-miR-6995-5p	1	0	0	0	1	0
mmu-miR-6995-3p	2	0	0	1	1	0
mmu-miR-6897-5p	3	0	0	0	1	0
mmu-miR-6897-3p	1	0	0	0	0	0
mmu-miR-292b-5p	2	0	0	0	2	1
mmu-miR-6916-5p	2	0	0	3	1	4
mmu-miR-6916-3p	0	0	1	0	0	0
mmu-miR-7017-5p	1	1	0	0	1	2
mmu-miR-7017-3p	4	0	0	0	0	0
mmu-miR-6905-5p	1	0	0	0	0	0
mmu-miR-6959-5p	2	1	1	0	3	0
mmu-miR-6959-3p	2	0	0	3	0	1
mmu-miR-802-5p	3	2	1	0	3	4
mmu-miR-802-3p	1	0	0	0	0	0
mmu-miR-6998-5p	0	0	1	0	1	1
mmu-miR-6998-3p	1	0	0	0	0	0
mmu-miR-1258-5p	1	1	0	2	0	1
mmu-miR-1258-3p	0	0	0	1	0	0
mmu-miR-7076-3p	2	0	0	0	0	0
mmu-miR-470-5p	3	4	2	2	0	0
mmu-miR-6978-3p	2	4	0	3	3	1
mmu-miR-6978-5p	1	0	0	0	0	0
mmu-miR-3967	1	0	0	1	1	0
mmu-miR-7047-3p	2	0	0	0	0	0
mmu-miR-5104	3	0	0	0	1	1
mmu-miR-6954-5p	0	0	0	0	0	1
mmu-miR-6954-3p	1	0	0	1	0	2
mmu-miR-873a-5p	1	1	0	0	1	0
mmu-miR-873a-3p	0	2	0	0	2	0
mmu-miR-370-5p	1	1	0	0	0	1
mmu-miR-370-3p	2	3	0	0	5	5
mmu-miR-7036b-5p	1	3	1	0	0	0
mmu-miR-7036b-3p	0	0	0	0	0	1
mmu-miR-3960	8	2	0	2	3	2
mmu-miR-3099-3p	3	0	0	1	0	2
mmu-miR-1930-5p	2	1	0	0	0	1
mmu-miR-1930-3p	1	1	0	0	0	0
mmu-miR-5120	10	6	1	2	3	1
mmu-miR-698-3p	1	0	0	0	0	0
mmu-miR-7009-3p	0	0	0	0	0	1
mmu-miR-7009-5p	1	0	0	1	0	0
mmu-miR-496a-3p	3	16	4	17	0	3
mmu-miR-466m-3p	0	0	0	0	1	0
mmu-miR-6909-3p	2	0	0	0	0	0
mmu-miR-6909-5p	0	1	0	0	1	1
mmu-miR-6244	1	0	0	0	0	0
mmu-miR-3473g	4	2	0	2	1	4
mmu-miR-9768-5p	1	0	0	0	0	0
mmu-miR-9768-3p	1	0	0	0	0	0
mmu-miR-6922-3p	2	2	0	1	5	2
mmu-miR-6922-5p	2	1	0	0	0	0
mmu-miR-7039-3p	2	0	0	1	1	1
mmu-miR-3154	1	0	0	1	2	1
mmu-miR-5108	1	0	0	0	1	2
mmu-miR-1938	2	0	0	0	0	0
mmu-miR-6939-3p	2	0	0	0	1	1
mmu-miR-7659-5p	3	0	0	0	0	0
mmu-miR-7081-5p	1	0	0	0	0	0
mmu-miR-7081-3p	0	1	0	0	0	0
mmu-miR-679-5p	2	4	1	0	2	4
mmu-miR-494-3p	2	3	0	2	2	3
mmu-miR-219c-5p	4	0	0	0	2	2
mmu-miR-219c-3p	3	6	2	3	6	5
mmu-miR-12178-3p	3	0	0	0	7	6
mmu-miR-770-5p	0	0	0	0	1	0
mmu-miR-770-3p	1	0	0	0	0	0
mmu-miR-7012-5p	2	0	1	0	0	0
mmu-miR-154-3p	3	0	0	1	1	2
mmu-miR-154-5p	5	13	1	0	9	6
mmu-miR-6976-3p	1	1	0	0	2	5
mmu-miR-6976-5p	1	0	0	1	0	0
mmu-miR-1970	3	0	0	0	0	0
mmu-miR-495-3p	5	11	5	2	0	4
mmu-miR-2137	1	0	0	2	2	2
mmu-miR-466k	1	1	0	0	1	0
mmu-miR-8095	1	0	0	0	0	0
mmu-miR-135a-5p	6	10	0	1	3	1
mmu-miR-135a-1-3p	2	2	1	0	0	0
mmu-miR-7013-5p	3	0	0	0	3	0
mmu-miR-217-5p	1	0	0	0	3	0
mmu-miR-217-3p	0	0	1	0	0	0
mmu-miR-1960	6	1	2	1	5	3
mmu-miR-7022-3p	2	1	0	0	1	0
mmu-miR-3071-3p	1	0	0	0	0	0
mmu-miR-6541	3	2	2	2	1	3
mmu-miR-871-5p	1	1	0	1	0	0
mmu-miR-871-3p	0	9	2	9	0	1
mmu-miR-6538	1	2	2	3	1	2
mmu-miR-935	1	0	0	3	0	0
mmu-miR-412-5p	1	1	0	0	1	0
mmu-miR-412-3p	0	0	1	0	0	0
mmu-miR-1b-3p	4	3	2	0	5	2
mmu-miR-8105	2	1	0	0	3	1
mmu-miR-7045-3p	0	1	0	0	0	0
mmu-miR-7045-5p	2	6	2	9	0	0
mmu-miR-1956	1	2	3	1	2	2
mmu-miR-1224-5p	1	0	0	0	0	0
mmu-miR-1224-3p	1	0	1	2	0	0
mmu-miR-3080-3p	1	0	0	0	1	0
mmu-miR-12201-5p	0	0	0	0	0	1
mmu-miR-12201-3p	1	1	0	1	5	4
mmu-miR-206-3p	2	1	1	1	0	0
mmu-miR-135a-2-3p	0	0	0	0	1	0
mmu-miR-6239	1	0	1	0	1	1
mmu-miR-1969	1	0	0	0	1	2
mmu-miR-7230-3p	1	0	0	0	0	0
mmu-miR-1190	1	0	0	0	0	0
mmu-miR-7092-5p	0	1	0	0	1	0
mmu-miR-7092-3p	2	2	0	0	2	1
mmu-miR-203b-3p	1	13	2	1	1	1
mmu-miR-694	3	1	0	1	1	1
mmu-miR-7006-3p	5	2	0	1	5	2
mmu-miR-8101	1	0	0	0	1	2
mmu-miR-6368	2	0	0	0	0	0
mmu-miR-5617-5p	1	0	0	0	0	0
mmu-miR-1932	1	0	1	2	0	1
mmu-miR-5624-5p	1	0	4	0	1	1
mmu-miR-5624-3p	2	0	0	0	0	0
mmu-miR-344f-3p	1	0	0	0	0	0
mmu-miR-5620-3p	2	0	0	0	1	0
mmu-miR-5620-5p	0	0	1	0	0	0
mmu-miR-7083-3p	2	2	0	2	1	0
mmu-miR-7083-5p	3	4	0	1	2	5
mmu-miR-295-3p	4	4	2	1	2	7
mmu-miR-7658-3p	3	1	0	0	3	2
mmu-miR-6913-3p	3	3	1	3	6	3
mmu-miR-5615-5p	1	0	1	2	0	0
mmu-miR-5615-3p	0	1	0	0	0	0
mmu-miR-5616-5p	1	0	0	0	0	0
mmu-miR-3961	1	1	0	0	0	0
mmu-miR-7067-3p	0	2	0	1	3	2
mmu-miR-7067-5p	1	0	0	0	0	0
mmu-miR-1936	1	0	0	0	0	1
mmu-miR-7681-5p	1	0	0	0	0	0
mmu-miR-12182-3p	1	0	1	0	2	0
mmu-miR-5116	3	0	0	3	1	2
mmu-miR-7117-3p	0	1	0	0	0	0
mmu-miR-7117-5p	2	0	0	0	0	1
mmu-miR-7036a-3p	1	3	0	1	0	1
mmu-miR-7036a-5p	0	0	0	0	0	1
mmu-miR-3966	1	0	0	0	0	0
mmu-miR-1953	1	2	0	1	2	4
mmu-miR-6715-5p	1	0	0	0	0	0
mmu-miR-344h-5p	1	0	0	0	0	0
mmu-miR-344e-5p	1	0	0	0	0	0
mmu-miR-344e-3p	0	0	0	0	1	0
mmu-miR-7032-3p	1	2	0	0	1	2
mmu-miR-7032-5p	0	0	0	0	1	0
mmu-miR-219a-2-3p	0	1	0	0	0	0
