miRNA,Lung_F1,Lung_F2,Lung_F3,Lung_M1,Lung_M2,Lung_M3
mmu-miR-1191b-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1191b-5p,1.1089,2.3961,3.0961,2.3924,1.4979,1.7673
mmu-miR-1192,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1193-3p,0.0,0.0,0.0,0.0,0.0,0.202
mmu-miR-1193-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1194,0.0,0.0,0.0,0.0,0.0,0.2525
mmu-miR-1195,0.0,0.0,0.0,1.3671,0.0,0.0
mmu-miR-1197-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1197-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1198-3p,0.2772,0.3994,0.0,0.7519,0.3745,0.8079
mmu-miR-1198-5p,26.4285,24.061,22.0595,20.9164,26.1507,21.3087
mmu-miR-1199-3p,0.462,0.599,0.0,0.5468,0.4993,0.5049
mmu-miR-1199-5p,0.0,1.0982,3.4831,1.6405,2.871,2.5752
mmu-miR-12178-3p,0.0,0.0,0.0,0.6835,0.8114,0.7069
mmu-miR-12178-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12179-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12180-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12181-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12181-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12182-3p,0.0,0.0,0.0,0.2734,0.0,0.0
mmu-miR-12182-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12183-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12184-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12184-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12185-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12185-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12186-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12186-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12187-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12187-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12188-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12188-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12189-3p,0.0,0.0,0.0,0.0,0.0,0.1515
mmu-miR-12190-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12191-3p,0.8317,0.0,0.0,1.162,0.6865,0.2525
mmu-miR-12191-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12192-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12193-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12193-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12194-3p,0.0,0.0,0.0,0.3418,0.0,0.0
mmu-miR-12195-3p,0.7393,0.0,0.0,0.0,0.4993,0.6059
mmu-miR-12195-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12196-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12196-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12197-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12198-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12199-3p,1.6633,1.3977,1.548,1.2304,1.9972,1.0604
mmu-miR-122-3p,0.0,0.0,0.0,0.0,0.2496,0.101
mmu-miR-122-5p,2.033,5.3913,6.9661,9.3645,25.1521,12.6237
mmu-miR-12200-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12200-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12201-3p,0.0,0.0,0.0,0.4101,0.6241,0.0
mmu-miR-12201-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12202-3p,0.3696,0.0,0.0,0.2051,0.0,0.303
mmu-miR-12202-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12203-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12203-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12204-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12205-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12205-5p,0.462,0.0,0.0,0.0,0.3121,0.0
mmu-miR-12206-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1224-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1224-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-122b-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-122b-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1231-3p,0.0,0.0,0.0,0.5468,0.2496,0.0
mmu-miR-1231-5p,0.0,0.1997,0.0,0.0,0.0,0.0
mmu-miR-124-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-124-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1247-3p,0.2772,0.0,0.0,0.0,0.4369,0.5049
mmu-miR-1247-5p,0.0,4.7922,5.9986,14.286,18.5988,10.8563
mmu-miR-1249-3p,38.4415,36.2413,30.5736,47.4377,40.6302,41.8095
mmu-miR-1249-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-124b-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1251-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1251-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1258-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1258-5p,0.1848,0.0,0.0,0.0,0.0,0.101
mmu-miR-125a-3p,4.4356,5.5909,5.6116,9.5696,12.7945,10.1999
mmu-miR-125a-5p,8032.4291,6236.1986,5688.0532,15888.9804,16319.3176,14055.5324
mmu-miR-125b-1-3p,36.3161,23.3622,23.414,48.5314,56.5453,56.9579
mmu-miR-125b-2-3p,140.829,322.1781,298.9638,297.5454,287.9068,285.3451
mmu-miR-125b-5p,883.4157,765.9593,619.9872,1889.3075,1960.3003,1827.552
mmu-miR-1264-3p,14.8776,8.7858,7.5467,7.7924,7.4894,9.1395
mmu-miR-1264-5p,0.3696,0.599,0.9675,0.4785,0.3121,0.5049
mmu-miR-126a-3p,7133.027,5520.9572,4229.4192,3807.1187,4536.358,3990.8427
mmu-miR-126a-5p,14812.1822,9618.4201,7286.2036,2292.3917,3737.2964,1981.4091
mmu-miR-126b-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-126b-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-127-3p,420.7313,455.4622,247.1047,245.1178,196.598,258.2295
mmu-miR-127-5p,1.3861,3.095,2.322,1.4354,0.3121,1.3129
mmu-miR-1271-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1271-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-128-1-5p,2.033,1.7971,2.5156,1.2304,0.8738,1.8683
mmu-miR-128-2-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-128-3p,28.8311,16.4733,17.9959,37.1163,75.2689,29.7918
mmu-miR-129-1-3p/129-2-3p,0.3696,0.9984,0.5805,0.0,0.3745,0.2525
mmu-miR-129-5p,0.0,0.0,0.0,0.3418,0.3121,0.202
mmu-miR-1291,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1298-3p,4.4356,4.5926,5.9986,2.1873,1.8724,1.8683
mmu-miR-1298-5p,134.4529,100.4373,109.3298,49.3517,41.504,46.2026
mmu-miR-129b-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-129b-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1306-3p,0.0,0.0,0.0,0.5468,1.1234,0.9089
mmu-miR-1306-5p,1.0165,0.0,2.322,0.0,6.366,3.3326
mmu-miR-130a-3p,937.2892,1057.7866,543.7465,1065.7772,1128.7845,995.8045
mmu-miR-130a-5p,0.3696,0.0,0.0,0.2051,0.2496,0.5554
mmu-miR-130b-3p,28.9235,24.8597,8.7077,46.9593,61.8503,43.9808
mmu-miR-130b-5p,0.9241,1.9968,0.9675,4.5797,5.1802,3.7871
mmu-miR-130c,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-132-3p,11.2737,16.5732,17.9959,7.1088,11.4838,7.1197
mmu-miR-132-5p,0.9241,1.1981,0.774,0.8202,0.8738,1.0604
mmu-miR-133a-3p/133b-3p,123.2716,773.547,297.0288,826.7429,142.2995,1481.8658
mmu-miR-133a-5p,0.5544,2.1964,1.3545,1.0937,0.1872,2.1713
mmu-miR-133b-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-133c,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-134-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-134-5p,5.0824,0.0,4.8376,1.7772,1.4355,2.2218
mmu-miR-135a-1-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-135a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-135a-5p,0.7393,1.3977,0.0,0.2051,0.4369,0.404
mmu-miR-135b-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-135b-5p,0.7393,0.4992,0.5805,0.2051,0.3121,0.6059
mmu-miR-136-3p,89.1732,113.4163,65.2109,20.6429,18.5988,22.9246
mmu-miR-136-5p,11.9206,17.272,9.6752,11.0734,9.4242,11.9167
mmu-miR-137-3p,0.0,0.1997,0.0,0.0,0.0,0.303
mmu-miR-137-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-138-1-3p,0.0,0.0,0.0,0.4785,0.0,0.0
mmu-miR-138-2-3p,0.0,0.0,0.0,0.2051,0.0,0.0
mmu-miR-138-5p,2.8646,2.2963,1.161,0.6152,1.5603,2.2218
mmu-miR-139-3p,1.2013,0.8985,0.0,4.3747,2.8085,4.5445
mmu-miR-139-5p,9.3332,12.3799,4.8376,10.1164,13.0441,11.9167
mmu-miR-140-3p,617.9289,1529.822,2507.8132,754.766,716.8649,826.5465
mmu-miR-140-5p,65.7941,82.5663,41.6034,40.1922,33.6401,43.1729
mmu-miR-141-3p,9601.3236,9700.587,6122.4699,10973.8416,9224.3149,11094.9315
mmu-miR-141-5p,14.1383,18.8694,21.2855,13.9442,13.6682,13.785
mmu-miR-142a-3p,190.7291,233.4219,127.7127,235.8217,219.8153,270.6007
mmu-miR-142a-5p,3116.3504,2372.2574,1066.5946,3407.1104,3653.7267,3657.7802
mmu-miR-142b,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-143-3p,38149.3255,111828.7598,137879.8026,99841.6304,89458.2602,111216.4317
mmu-miR-143-5p,21.0689,28.6536,41.7969,26.9315,27.3989,30.7512
mmu-miR-144-3p,194.0557,157.445,89.9794,248.3988,227.4295,233.4367
mmu-miR-144-5p,256.8928,166.6301,299.3509,100.754,99.2352,88.2646
mmu-miR-145a-3p,295.0571,332.3616,241.2996,360.8413,392.9463,410.5718
mmu-miR-145a-5p,1113.1407,1641.4412,911.9849,925.2412,795.192,1255.1954
mmu-miR-145b,0.0,0.0,0.0,0.0,0.0,0.5554
mmu-miR-146a-3p,0.462,0.0,0.0,0.0,0.4993,0.0
mmu-miR-146a-5p,21551.276,14024.8825,12448.3126,24298.3126,27477.0956,23397.5935
mmu-miR-146b-3p,0.8317,1.2979,1.161,1.5038,1.6227,1.1109
mmu-miR-146b-5p,40528.6337,26506.7643,38049.4864,22180.2239,19597.7605,19341.7642
mmu-miR-147-3p,3.6039,1.1981,1.3545,0.6835,0.2496,1.0099
mmu-miR-147-5p,6.0065,2.6956,0.774,1.6405,1.8724,1.4643
mmu-miR-148a-3p,4739.3032,9165.1543,9387.6582,3484.829,3515.0471,3509.7299
mmu-miR-148a-5p,86.3086,121.1038,160.4149,63.1592,59.3539,62.3609
mmu-miR-148b-3p,842.9412,1069.3678,824.7145,652.7134,679.168,660.2172
mmu-miR-148b-5p,28.5539,24.9596,30.7672,25.8379,27.8982,25.1463
mmu-miR-149-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-149-5p,5.1748,10.2833,5.4181,11.7569,7.8015,15.5018
mmu-miR-150-3p,2.2178,2.8953,1.548,5.7417,3.6823,7.4227
mmu-miR-150-5p,412.7843,383.978,204.9208,865.9782,686.5326,917.1844
mmu-miR-151-3p,7233.4739,5654.0416,4697.3122,6659.9456,7138.6287,6176.6035
mmu-miR-151-5p,1422.8906,1166.7102,730.2845,2905.1179,3255.1009,2832.597
mmu-miR-152-3p,313.4462,283.4409,297.2223,272.0493,286.5338,287.3144
mmu-miR-152-5p,130.2022,159.2421,199.3092,42.858,44.4998,37.0631
mmu-miR-153-3p,33.5439,38.8371,19.3504,24.1974,28.1478,26.1562
mmu-miR-153-5p,2.4026,0.9984,1.161,0.4101,0.6865,1.0604
mmu-miR-154-3p,0.0,0.0,0.0,0.0,0.1248,0.101
mmu-miR-154-5p,0.0,1.2979,0.0,0.6152,0.3745,0.303
mmu-miR-155-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-155-5p,56.923,62.6984,54.9552,48.9415,36.6359,40.7997
mmu-miR-15a-3p,7.3926,7.2882,5.0311,11.2784,11.6086,12.1187
mmu-miR-15a-5p,148.5913,173.4191,98.8806,153.9334,153.6585,161.9363
mmu-miR-15b-3p,14.4156,14.8759,10.4492,4.5797,4.3064,5.1505
mmu-miR-15b-5p,167.7196,154.2501,116.683,275.3987,300.4516,262.7235
mmu-miR-16-1-3p,7.3926,8.5861,10.4492,5.1266,4.7433,5.4029
mmu-miR-16-2-3p,10.442,7.6875,6.9661,5.4,8.7377,7.5237
mmu-miR-16-5p,8927.2109,7485.0757,4498.777,9131.1516,9282.8574,9081.0039
mmu-miR-1668,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-17-3p,5.2672,6.9887,5.8051,13.6025,12.8569,11.4118
mmu-miR-17-5p,68.6588,74.08,53.4071,37.3897,45.3736,38.5274
mmu-miR-181a-1-3p,141.7531,132.9846,131.3893,49.3517,53.5495,49.9392
mmu-miR-181a-2-3p,31.3261,31.3492,50.8916,35.2707,31.7053,35.5482
mmu-miR-181a-5p,40419.5005,27250.9589,44313.4078,40399.3958,42898.054,38092.9432
mmu-miR-181b-1-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-181b-2-3p,0.0,0.0,0.0,0.0,0.0,0.404
mmu-miR-181b-5p,1208.4128,1172.6006,1543.5823,1394.9706,1513.43,1314.5771
mmu-miR-181c-3p,43.6163,74.3795,80.8847,36.091,35.7621,36.9116
mmu-miR-181c-5p,5242.6468,5767.8572,5592.8492,3191.3849,3417.0601,3124.2034
mmu-miR-181d-3p,0.0,0.4992,0.0,0.0,0.0,0.0
mmu-miR-181d-5p,361.4057,383.7784,470.602,286.4037,308.3156,275.3977
mmu-miR-182-3p,0.0,0.0,0.0,0.0,0.3121,0.3535
mmu-miR-182-5p,2967.2047,2767.3175,3966.2537,1901.5429,2176.9326,1837.1459
mmu-miR-183-3p,1.3861,0.599,0.0,1.6405,1.1858,1.7168
mmu-miR-183-5p,1659.4538,1720.8126,685.9721,812.7303,798.7495,736.2116
mmu-miR-1839-3p,19.4056,16.5732,16.4478,8.6126,8.9249,10.5029
mmu-miR-1839-5p,151.5483,113.9155,208.7909,169.9283,192.9157,168.854
mmu-miR-184-3p,4.7128,14.4766,10.6427,8.3392,8.9873,8.1801
mmu-miR-184-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1843a-3p,1.7557,2.5958,2.7091,5.9468,5.1178,4.2415
mmu-miR-1843a-5p/1843b-5p,216.1411,186.3981,251.9423,166.0321,175.6899,161.3808
mmu-miR-1843b-3p,16.9106,8.7858,11.6102,11.005,10.2356,10.5534
mmu-miR-185-3p,0.0,1.2979,1.548,1.0937,1.4355,1.3129
mmu-miR-185-5p,24.2108,21.9644,19.5439,40.2606,48.9311,42.1125
mmu-miR-186-3p,0.5544,1.8969,0.0,0.0,0.6865,0.6059
mmu-miR-186-5p,4064.8209,3196.0231,2006.0571,2353.5686,2502.349,2243.4762
mmu-miR-187-3p,28.6463,27.4555,16.4478,20.6429,20.2215,21.5107
mmu-miR-187-5p,0.0,2.3961,2.7091,5.1949,6.1788,4.797
mmu-miR-188-3p,1.1089,1.4976,0.387,1.5038,2.1844,1.7168
mmu-miR-188-5p,2.3102,3.1948,2.1285,1.2987,0.9362,0.8584
mmu-miR-1892,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1893,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1894-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1894-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1895,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1896,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1897-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1897-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1898,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1899,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-18a-3p,10.1648,7.1884,7.3532,27.4784,17.9747,21.2582
mmu-miR-18a-5p,7.5774,6.5893,2.9026,3.4177,3.8695,4.2415
mmu-miR-18b-3p,0.3696,0.0,0.0,1.5721,0.3745,1.0604
mmu-miR-18b-5p,0.5544,0.599,0.0,0.3418,0.0,0.5049
mmu-miR-1900,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1901,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1902,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1903,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1904,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1905,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1906,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1907,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-190a-3p,0.9241,1.7971,0.5805,0.4785,0.7489,0.2525
mmu-miR-190a-5p,14.97,19.2688,18.9634,4.5114,5.2426,5.1
mmu-miR-190b-3p,0.0,0.0,0.0,0.5468,0.4369,0.404
mmu-miR-190b-5p,2.957,3.7939,4.0636,1.6405,1.5603,2.6762
mmu-miR-191-3p,1.8481,1.3977,1.161,1.7089,2.4341,2.2723
mmu-miR-191-5p,13613.5646,10039.3383,6666.797,12668.6133,14448.3289,11059.0803
mmu-miR-1911-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1911-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1912-3p,4.8976,4.1932,2.5156,3.8962,2.1844,2.9792
mmu-miR-1912-5p,5.0824,3.694,2.7091,1.0253,0.0,0.8079
mmu-miR-192-3p,0.7393,0.0,0.0,0.0,0.0,0.5554
mmu-miR-192-5p,2440.1123,2299.2756,2516.5209,1194.488,1119.173,1171.6773
mmu-miR-1927,0.0,0.0,0.0,0.8202,1.2482,0.5554
mmu-miR-1928,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1929-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1929-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1930-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1930-5p,0.0,0.0,0.0,0.0,0.0,0.101
mmu-miR-1931,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1932,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1933-3p,0.462,0.3994,0.0,0.4101,0.4369,0.5554
mmu-miR-1933-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1934-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1934-5p,0.0,0.4992,0.0,0.4101,0.4993,0.3535
mmu-miR-1936,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1938,0.0,0.0,0.0,0.0,0.0,0.101
mmu-miR-193a-3p,7.1154,30.1512,7.5467,6.6303,6.6781,7.9782
mmu-miR-193a-5p,0.5544,1.2979,0.9675,2.119,1.8724,1.4138
mmu-miR-193b-3p,29.2932,60.3023,25.9296,14.4911,15.4782,15.5018
mmu-miR-193b-5p,0.0,0.0,0.0,0.0,0.0,0.2525
mmu-miR-194-1-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-194-2-3p,0.0,0.0,0.0,0.0,0.2496,0.0
mmu-miR-194-5p,55.0749,54.0125,34.8307,51.3339,50.4914,54.8877
mmu-miR-1941-3p,3.7887,2.6956,1.7415,2.1873,2.871,2.2723
mmu-miR-1941-5p,1.1089,0.3994,1.7415,1.6405,2.8085,2.2218
mmu-miR-1942,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1943-3p,0.2772,0.0,0.0,0.5468,0.1872,0.404
mmu-miR-1943-5p,14.6004,13.578,21.479,34.0403,35.2004,33.6799
mmu-miR-1945,0.0,0.0,0.0,0.0,0.2496,0.0
mmu-miR-1946a,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1946b,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1947-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1947-5p,4.1583,2.7955,4.0636,6.0835,5.4298,4.494
mmu-miR-1948-3p,0.2772,0.3994,0.0,0.6835,0.4369,0.5049
mmu-miR-1948-5p,0.2772,0.0,0.0,0.0,0.3745,0.202
mmu-miR-1949,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1950,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1951,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1952,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1953,0.0,0.2995,0.0,0.1367,0.3121,0.0
mmu-miR-1954,0.1848,0.0,0.0,0.5468,0.4993,0.404
mmu-miR-1955-3p,1.0165,0.6989,0.774,0.6152,0.6241,0.4545
mmu-miR-1955-5p,1.2013,1.1981,1.7415,2.5291,3.6823,2.9287
mmu-miR-1956,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1958,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-195a-3p,35.3921,26.6568,37.9268,19.4809,25.901,20.0464
mmu-miR-195a-5p,1346.1924,1318.2647,866.8984,1413.2895,1416.0048,1373.9083
mmu-miR-195b,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1960,0.0,0.0,0.387,0.4101,0.5617,0.6059
mmu-miR-1961,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1962,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1963,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1964-3p,6.2837,5.7906,5.2246,6.9721,7.8639,5.8069
mmu-miR-1964-5p,0.0,0.0,0.0,0.0,0.0,0.404
mmu-miR-1966-3p,1.0165,0.0,0.0,0.0,1.8099,0.0
mmu-miR-1966-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1967,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1968-3p,0.0,0.0,0.0,0.6152,0.0,0.0
mmu-miR-1968-5p,1.0165,1.1981,2.7091,2.2557,4.9306,1.9188
mmu-miR-1969,0.0,0.0,0.0,0.0,0.1248,0.0
mmu-miR-196a-1-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-196a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-196a-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-196b-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-196b-5p,0.6469,0.0,0.0,1.6405,2.1844,1.0604
mmu-miR-1970,0.0,0.0,0.0,0.0,0.0,0.3535
mmu-miR-1970b-5p,0.0,0.0,0.0,0.0,0.0,0.0
