
#File:/home/tfm20212-01/Software/COMPSRA/Lung_M2.fastq
#28758079 reads are processed.
#28703836 reads are trimed with 3'adapter.
#636 reads are removed because of low quality (<20).
#0 reads are trimed from 5'end with 0 bases.
#0 reads are trimed from 3'end with 0 bases.
#520129 reads are trimed from 5'end bacause of low quality.
#492806 reads are trimed from 3'end bacause of low quality.
#636 reads are saved int the file: /home/tfm20212-01/Results/COMPSRA/Lung_M2/Lung_M2_LowQualityRead.fastq.gz
#34183 reads are saved int the file: /home/tfm20212-01/Results/COMPSRA/Lung_M2/Lung_M2_0to15_FitRead.fastq.gz
#28723260 reads are saved int the file: /home/tfm20212-01/Results/COMPSRA/Lung_M2/Lung_M2_15to75_FitRead.fastq.gz
#The length distribution of the trimed reads is listed:
#Length	Count	Percentage
0	5	0.00%
1	312	0.00%
2	146	0.00%
3	128	0.00%
4	189	0.00%
5	365	0.00%
6	678	0.00%
7	1330	0.00%
8	1711	0.01%
9	2486	0.01%
10	3566	0.01%
11	4198	0.01%
12	4402	0.02%
13	5334	0.02%
14	9338	0.03%
15	8659	0.03%
16	17996	0.06%
17	20320	0.07%
18	57013	0.20%
19	246912	0.86%
20	3030570	10.54%
21	1931190	6.72%
22	6626951	23.04%
23	2830061	9.84%
24	1527871	5.31%
25	205758	0.72%
26	115712	0.40%
27	127350	0.44%
28	163690	0.57%
29	158298	0.55%
30	450412	1.57%
31	216416	0.75%
32	297786	1.04%
33	816125	2.84%
34	269945	0.94%
35	87654	0.30%
36	76802	0.27%
37	54749	0.19%
38	73322	0.25%
39	82432	0.29%
40	261457	0.91%
41	86815	0.30%
42	65778	0.23%
43	31020	0.11%
44	18130	0.06%
45	14516	0.05%
46	18226	0.06%
47	8078	0.03%
48	5827	0.02%
49	6387	0.02%
50	9218	0.03%
51	20600	0.07%
52	86339	0.30%
53	18674	0.06%
54	22525	0.08%
55	7526	0.03%
56	9589	0.03%
57	10282	0.04%
58	18984	0.07%
59	14769	0.05%
60	43431	0.15%
61	454843	1.58%
62	320505	1.11%
63	187991	0.65%
64	116610	0.41%
65	317530	1.10%
66	243223	0.85%
67	149102	0.52%
68	90756	0.32%
69	153120	0.53%
70	1151724	4.00%
71	949264	3.30%
72	1833277	6.37%
73	1744962	6.07%
74	689333	2.40%
75	49486	0.17%
