
#File:/home/tfm20212-01/Software/COMPSRA/Lung_M3.fastq
#34333318 reads are processed.
#34281586 reads are trimed with 3'adapter.
#735 reads are removed because of low quality (<20).
#0 reads are trimed from 5'end with 0 bases.
#0 reads are trimed from 3'end with 0 bases.
#589219 reads are trimed from 5'end bacause of low quality.
#586144 reads are trimed from 3'end bacause of low quality.
#735 reads are saved int the file: /home/tfm20212-01/Results/COMPSRA/Lung_M3/Lung_M3_LowQualityRead.fastq.gz
#50726 reads are saved int the file: /home/tfm20212-01/Results/COMPSRA/Lung_M3/Lung_M3_0to15_FitRead.fastq.gz
#34281857 reads are saved int the file: /home/tfm20212-01/Results/COMPSRA/Lung_M3/Lung_M3_15to75_FitRead.fastq.gz
#The length distribution of the trimed reads is listed:
#Length	Count	Percentage
0	13	0.00%
1	292	0.00%
2	178	0.00%
3	128	0.00%
4	310	0.00%
5	614	0.00%
6	1011	0.00%
7	2156	0.01%
8	2810	0.01%
9	4650	0.01%
10	5917	0.02%
11	6661	0.02%
12	7144	0.02%
13	8204	0.02%
14	10653	0.03%
15	12168	0.04%
16	24620	0.07%
17	27937	0.08%
18	77230	0.22%
19	347962	1.01%
20	4220108	12.29%
21	2406636	7.01%
22	7962647	23.19%
23	3302152	9.62%
24	1770872	5.16%
25	249208	0.73%
26	143302	0.42%
27	156407	0.46%
28	206971	0.60%
29	205144	0.60%
30	631070	1.84%
31	243549	0.71%
32	318471	0.93%
33	1046414	3.05%
34	291707	0.85%
35	100175	0.29%
36	75584	0.22%
37	61460	0.18%
38	80970	0.24%
39	91956	0.27%
40	297223	0.87%
41	93259	0.27%
42	71599	0.21%
43	34988	0.10%
44	22136	0.06%
45	18582	0.05%
46	22801	0.07%
47	10852	0.03%
48	7266	0.02%
49	8566	0.02%
50	11032	0.03%
51	23663	0.07%
52	96550	0.28%
53	23852	0.07%
54	34575	0.10%
55	9541	0.03%
56	12779	0.04%
57	12746	0.04%
58	18602	0.05%
59	17169	0.05%
60	51540	0.15%
61	584364	1.70%
62	413846	1.21%
63	233910	0.68%
64	144740	0.42%
65	384532	1.12%
66	297196	0.87%
67	169179	0.49%
68	108252	0.32%
69	183517	0.53%
70	1190312	3.47%
71	952331	2.77%
72	1827595	5.32%
73	2027436	5.91%
74	764302	2.23%
75	47024	0.14%
